ISO,Population,deathRate
ABW,104822,8.762
AFG,34656032,6.747
AGO,28813463,8.513
ALB,2876101,7.379
AND,77281,4.3
ARB,406452690,5.548676657
ARE,9269612,1.592
ARG,43847430,7.564
ARM,2924816,9.688
ASM,55599,
ATG,100963,5.788
AUS,24210809,6.5
AUT,8731471,9.2
AZE,9757812,5.8
BDI,10524117,10.788
BEL,11338476,9.5
BEN,10872298,9.172
BFA,18646433,8.568
BGD,162951560,5.284
BGR,7127822,15.1
BHR,1425171,2.359
BHS,391232,6.349
BIH,3516816,11.037
BLR,9501534,12.6
BLZ,366954,5.483
BMU,65376,8
BOL,10887882,7.297
BRA,207652865,6.165
BRB,284996,10.744
BRN,423196,3.575
BTN,797765,6.022
BWA,2250260,6.684
CAF,4594621,13.538
CAN,36264604,7.5
CEB,102991323,11.59799336
CHE,8372413,7.8
CHI,164541,8.998
CHL,17909754,6.115
CHN,1378665000,7.3
CIV,23695919,12.227
CMR,23439189,10.076
COD,78736153,9.934
COG,5125821,7.331
COL,48653419,6.009
COM,795601,7.389
CPV,539560,5.531
CRI,4857274,4.941
CSS,7245472,7.684677675
CUB,11475982,8.003
CUW,159663,9.3
CYM,60765,
CYP,1170125,6.893
CZE,10566332,10.2
DEU,82487842,11.2
DJI,942333,8.35
DMA,73543,
DNK,5728010,9.2
DOM,10648791,6.102
DZA,40606052,4.765
EAP,2053299126,7.177498476
EAR,3170657660,6.725951839
EAS,2298727229,7.306637422
ECA,417406606,10.30634667
ECS,911847278,10.01349762
ECU,16385068,5.121
EGY,95688681,5.909
EMU,340762347,9.846913166
ERI,,6.854
ESP,46484533,8.8
EST,1315790,11.7
ETH,102403196,6.825
EUU,511360932,10.04004426
FCS,505635987,8.556132777
FIN,5495303,9.8
FJI,898760,7.091
FRA,66892205,8.8
FRO,49117,7.6
FSM,104937,6.222
GAB,1979786,7.616
GBR,65595565,9.1
GEO,3719300,13.228
GHA,28206728,8.146
GIB,34408,
GIN,12395924,9.261
GMB,2038501,8.063
GNB,1815698,10.537
GNQ,1221490,10.186
GRC,10770521,11
GRD,107317,7.109
GRL,56186,8.7
GTM,16582469,4.833
GUM,162896,5.065
GUY,773303,8.21
HIC,1189954263,8.634511298
HKG,7336600,6.4
HND,9112867,4.804
HPC,744602976,8.399964837
HRV,4174349,12.3
HTI,10847334,8.594
HUN,9814023,13
IBD,4699229277,7.258621252
IBT,6273581970,7.471676117
IDA,1574352693,8.107662441
IDB,521159047,9.006674342
IDN,261115456,7.122
IDX,1053193646,7.662833882
IMN,83737,
IND,1324171354,7.31
INX,,
IRL,4749777,6.4
IRN,80277428,4.513
IRQ,37202572,5.02
ISL,335439,6.9
ISR,8546000,5.1
ITA,60627498,10.1
JAM,2881355,6.98
JOR,9455802,3.828
JPN,126994511,10.5
KAZ,17794397,7.37
KEN,48461567,5.732
KGZ,6079500,5.5
KHM,15762370,6.055
KIR,114395,6.986
KNA,54821,
KOR,51245707,5.5
KWT,4052584,2.739
LAC,610136397,5.912885644
LAO,6758353,6.663
LBN,6006668,4.62
LBR,4613823,7.888
LBY,6293253,5.208
LCA,178015,7.506
LCN,637668677,5.960774949
LDC,979387925,7.685028828
LIC,659272676,8.365352747
LIE,37666,7.2
LKA,21203000,6.899
LMC,3014788232,7.443564333
LMY,6254072964,7.461147841
LSO,2203821,12.702
LTE,2264565982,7.501457904
LTU,2868231,14.3
LUX,582014,6.8
LVA,1959537,14.6
MAC,612167,3.806
MAF,31949,4.2
MAR,35276786,5.13
MCO,38499,7.9
MDA,3551954,11.481
MDG,24894551,6.328
MDV,427756,3.339
MEA,436720093,4.963553619
MEX,127540423,4.852
MHL,53066,
MIC,5594800288,7.354595409
MKD,2081206,9.798
MLI,17994837,10.32
MLT,437418,7.6
MMR,52885223,8.135
MNA,373719055,5.248885376
MNE,622303,9.863
MNG,3027398,6.318
MNP,55023,
MOZ,28829476,10.091
MRT,4301018,7.88
MUS,1263473,8.1
MWI,18091575,7.276
MYS,31187265,4.93
NAC,359457493,8.309128911
NAM,2479713,7.23
NCL,277000,5.7
NER,20672987,9.7
NGA,185989640,12.462
NIC,6149928,4.784
NLD,17030314,8.7
NOR,5236151,7.8
NPL,28982771,6.283
NRU,13049,
NZL,4693200,6.64
OED,1289872625,8.372741836
OMN,4424762,2.533
OSS,29994562,7.452111573
PAK,193203476,7.283
PAN,4034119,5.016
PER,31773839,5.65
PHL,103320222,6.524
PLW,21503,10
PNG,8084991,7.112
POL,37970087,10.2
PRE,879292453,9.306021007
PRI,3411307,8.1
PRK,25368620,8.844
PRT,10325452,10.7
PRY,6725308,5.729
PSE,4551566,3.498
PSS,2388875,5.971080787
PST,1102651400,9.290439686
PYF,280208,5.44
QAT,2569804,1.531
ROU,19699312,13
RUS,144342396,12.9
RWA,11917508,5.966
SAS,1766393714,7.085772764
SAU,32275687,3.557
SDN,39578828,7.435
SEN,15411614,5.899
SGP,5607283,4.8
SLB,599419,4.771
SLE,7396190,12.751
SLV,6344722,6.725
SMR,33203,7.6
SOM,14317996,11.367
SRB,7058322,14.3
SSA,1033118066,9.231648872
SSD,12230730,10.982
SSF,1033212743,9.231526849
SST,39628909,7.407253722
STP,199910,6.694
SUR,558368,7.313
SVK,5430798,9.6
SVN,2065042,9.5
SWE,9923085,9.2
SWZ,1343098,9.585
SXM,39969,
SYC,94677,7.9
SYR,18430453,5.522
TCA,34900,
TCD,14452543,12.953
TEA,2027896410,7.156679977
TEC,455376693,10.29747931
TGO,7606374,8.686
THA,68863514,7.872
TJK,8734951,5.158
TKM,5662544,7.076
TLA,621534921,5.907354309
TLS,1268671,5.53
TMN,369167489,5.270472516
TON,107122,5.989
TSA,1766393714,7.085772764
TSS,1033212743,9.231526849
TTO,1364962,9.612
TUN,11403248,6.341
TUR,79512426,5.819
TUV,11097,
TZA,55572201,6.737
UGA,41487965,8.697
UKR,45004645,14.7
UMC,2580012056,7.250625383
URY,3444006,9.366
USA,323127513,8.4
UZB,31847900,4.9
VCT,109643,7.18
VEN,31568179,5.609
VGB,30661,
VIR,107510,7.6
VNM,94569072,5.821
VUT,270402,4.775
WLD,7444027227,7.64866715
WSM,195125,4.973
XKX,1816200,7
YEM,27584213,6.456
ZAF,56015473,9.793
ZMB,16591390,7.78
ZWE,16150362,8.078
