year,country code,comm,export amount,trend,trend normal
1991,DEU,1701,1633398784,,
1992,DEU,1701,1436861056,0.8796756004,-0.1388984361
1993,DEU,1701,1660674176,1.155765318,0.1313617461
1994,DEU,1701,1410848512,0.8495637088,-0.1683745259
1995,DEU,1701,1425680768,1.010513004,-0.01082361765
1996,DEU,1701,1223896064,0.8584643151,-0.1596618527
1997,DEU,1701,1342756352,1.097116325,0.07395110522
1998,DEU,1701,1422741248,1.059567691,0.03719529756
1999,DEU,1701,1404519296,0.987192364,-0.0336518506
2000,DEU,1701,1416279972,1.008373453,-0.01291799298
2001,DEU,1701,1648694325,1.164101984,0.1395223856
2002,DEU,1701,1085395423,0.6583363614,-0.355564176
2003,DEU,1701,1126238842,1.03762999,0.01572080298
2004,DEU,1701,1057467731,0.9389373653,-0.08088796224
2005,DEU,1701,1811563615,1.713114795,0.676942987
2006,DEU,1701,1312380600,0.7244463231,-0.2908501026
2007,DEU,1701,617946608,0.470859298,-0.5390827281
2008,DEU,1701,785444200,1.27105512,0.2442172446
2009,DEU,1701,1059831407,1.349340166,0.3208493295
2010,DEU,1701,1103454517,1.041160424,0.01917669297
2011,DEU,1701,1003653606,0.909555936,-0.1096490132
2012,DEU,1701,1008695803,1.005023842,-0.01619687805
2013,DEU,1701,866820526,0.8593478068,-0.1587970156
2014,DEU,1701,1096052423,1.264451395,0.2377529545
2015,DEU,1701,896501132,0.8179363625,-0.199334072
2016,DEU,1701,1093741877,1.220011708,0.1942515957
2017,DEU,1701,1322641961,1.209281631,0.1837480808
