year,country code,comm,export amount,trend,trend normal
1999,NGA,1701,6325456,,
2000,NGA,1701,8107850,1.281781108,18024.01007
2001,NGA,1701,11285600,1.391934977,25088.64197
2002,NGA,1701,1342340,0.1189427235,2983.230347
2003,NGA,1701,7294740,5.434345993,16216.34023
2007,NGA,1701,3183328,0.4363867664,7076.03266
2008,NGA,1701,37,0.00001162305612,-0.9177432522
2009,NGA,1701,214700,5802.702703,476.3114527
2010,NGA,1701,158057,0.7361760596,350.3852645
2011,NGA,1701,147538,0.9334480599,326.9998934
2012,NGA,1701,3556253,24.10397999,7905.102868
2013,NGA,1701,19675076,5.532529885,43739.75039
2014,NGA,1701,81128,0.004123389409,179.3601469
2016,NGA,1701,394949,4.86822059,877.0329806
