year,country code,comm,export amount,trend,trend normal
1992,NLD,1701,359186560,,
1993,NLD,1701,524966624,1.46154306,0.3351251491
1994,NLD,1701,467069568,0.889712882,-0.1872438953
1995,NLD,1701,355777504,0.7617227248,-0.3041633912
1996,NLD,1701,249462784,0.7011763847,-0.3594727034
1997,NLD,1701,334601536,1.34128839,0.2252720506
1998,NLD,1701,294972635,0.8815638999,-0.1946880215
1999,NLD,1701,126047780,0.4273202496,-0.6096413253
2000,NLD,1701,300110404,2.380925741,1.174984728
2001,NLD,1701,316853651,1.055790292,-0.03553154928
2002,NLD,1701,239422205,0.7556239426,-0.3097346519
2003,NLD,1701,226757632,0.9471035988,-0.134817257
2004,NLD,1701,248482126,1.095804908,0.001021954688
2005,NLD,1701,404784840,1.629030009,0.4881251148
2006,NLD,1701,459187491,1.134398934,0.03627774466
2007,NLD,1701,291303304,0.6343885879,-0.42048361
2008,NLD,1701,279084402,0.9580543652,-0.1248136902
2009,NLD,1701,545579563,1.954890919,0.7858002961
2010,NLD,1701,231951184,0.4251463943,-0.6116271504
2011,NLD,1701,258007748,1.112336413,0.01612354772
2012,NLD,1701,257546084,0.9982106584,-0.08813076357
2013,NLD,1701,339233609,1.317176343,0.2032456033
2014,NLD,1701,464235127,1.368482116,0.2501136223
2015,NLD,1701,469308760,1.010929016,-0.07651249573
2016,NLD,1701,483317008,1.029848682,-0.05922930843
,,,,,1.094686188
