Year,Reporter,Commodity Code,Trade Value (US$),trend
2008,USA,101,469868847,
2014,USA,101,463226832,
1991,USA,101,308038064,
1992,USA,101,251939858,
1993,USA,101,208170088,
1994,USA,101,210695975,
1995,USA,101,285371552,
1996,USA,101,250304195,
1997,USA,101,270929337,
1998,USA,101,317624740,
1999,USA,101,294234797,
2000,USA,101,423403648,
2001,USA,101,448426100,
2002,USA,101,304306173,
2003,USA,101,529772120,
2004,USA,101,348649833,
2005,USA,101,467727110,
2006,USA,101,503544691,
2007,USA,101,444908859,
2009,USA,101,474789245,
2010,USA,101,414371531,
2011,USA,101,351343769,
2012,USA,101,464462830,
2013,USA,101,401070557,
2015,USA,101,394780378,
2016,USA,101,424847296,
2017,USA,101,454134007,
2014,USA,102,150156897,
1991,USA,102,187769970,
1992,USA,102,193841696,
1993,USA,102,124056063,
1994,USA,102,186602397,
1995,USA,102,86426264,
1996,USA,102,113364043,
1997,USA,102,176847623,
1998,USA,102,162905829,
1999,USA,102,174067518,
2000,USA,102,271998530,
2001,USA,102,271034472,
2002,USA,102,131834406,
2003,USA,102,63771568,
2004,USA,102,3349154,
2005,USA,102,7267646,
2006,USA,102,26561083,
2007,USA,102,48097396,
2008,USA,102,108237762,
2009,USA,102,58793909,
2010,USA,102,132835358,
2011,USA,102,380370890,
2012,USA,102,403557983,
2013,USA,102,280602998,
2015,USA,102,98770545,
2016,USA,102,77717063,
2017,USA,102,234753598,
2004,USA,103,35039607,
2005,USA,103,27080523,
1991,USA,103,26774384,
1992,USA,103,16169034,
1993,USA,103,9374803,
1994,USA,103,17327183,
1995,USA,103,3931362,
1996,USA,103,8816229,
1997,USA,103,12631869,
1998,USA,103,23413766,
1999,USA,103,18798034,
2000,USA,103,11900535,
2001,USA,103,11952466,
2002,USA,103,38069101,
2003,USA,103,33614059,
2006,USA,103,25198847,
2007,USA,103,19443359,
2008,USA,103,27882665,
2009,USA,103,9562957,
2010,USA,103,8633109,
2011,USA,103,24203718,
2012,USA,103,33358125,
2013,USA,103,30506436,
2014,USA,103,12889390,
2015,USA,103,17041092,
2016,USA,103,13697044,
2017,USA,103,23394142,
