BEL,CIV,DEU,FRA,NGA,NLD,POL,cmdCode,Impact,AdjTrend
0,0,1,0,0,0,0,7501,0.4903648542970222,-0.00869954791379572
0,0,1,0,0,0,0,7501,0.6004438458955,0.0
0,0,1,0,0,0,0,7501,0.6158108410680921,-0.008568623763841448
0,0,1,0,0,0,0,7501,0.5724001821554244,0.10885363972538363
0,0,0,1,0,0,0,7501,0.5845355034824259,-0.11836210581217929
0,0,0,1,0,0,0,7501,0.3779026844965415,-0.06881565461395009
0,0,1,0,0,0,0,7501,0.26998377258672457,-0.00869954791379572
0,0,0,1,0,0,0,7501,0.40004119654621373,-0.13306959089038042
0,0,0,1,0,0,0,7501,0.5176334505332973,1.3226876240070478
0,0,0,0,0,1,0,7501,0.5724358623494624,0.012312048781432284
0,0,0,1,0,0,0,7501,0.7099624185318503,4.136064410094938
0,0,1,0,0,0,0,7501,0.0,0.0
0,0,0,1,0,0,0,7501,1.7625739295751565e-05,-0.07006297789461326
0,0,0,1,0,0,0,7501,0.5121999624823091,-0.05657503116724155
0,0,1,0,0,0,0,7501,0.5477186332462632,-0.006478184706492071
0,0,0,1,0,0,0,7501,0.6076360781311617,-0.06704904194900632
0,0,1,0,0,0,0,7501,0.7135652328986285,-0.008188072488830946
0,0,1,0,0,0,0,7501,0.6389403835731226,-0.007173885815410652
0,0,0,1,0,0,0,7501,0.7083488310605417,0.0743676042952977
0,0,0,1,0,0,0,7501,1.7625739295751565e-05,0.09594068471404227
0,0,0,0,0,1,0,7501,0.0,-0.003693098971755461
0,0,1,0,0,0,0,7501,0.5152312612816502,4.797333960514466
0,0,1,0,0,0,0,7501,0.5897670061094683,-0.00869954791379572
0,0,0,1,0,0,0,7501,0.400025173146854,-0.14658963248160575
0,0,0,1,0,0,0,7501,0.0022320595308165394,0.017001433998406455
0,0,0,0,0,1,0,7501,0.006576610979776591,0.8478988357450632
0,0,1,0,0,0,0,7501,2.4391537225548218e-05,0.0
0,0,1,0,0,0,0,7501,0.6740564263764385,0.008603348738030482
0,0,0,1,0,0,0,7501,0.5398021862843289,1.7678547468877683
0,0,0,1,0,0,0,7501,0.4903175532635837,-0.08727712316334661
0,0,1,0,0,0,0,7501,0.6431448765138246,0.0008128170814230177
0,0,1,0,0,0,0,7501,0.48451254542091954,-0.004957585632463792
0,0,0,1,0,0,0,7501,0.6505438535225386,-0.0867779522616324
0,0,1,0,0,0,0,7501,0.6000233744650334,0.005310803357536246
0,0,0,1,0,0,0,7501,0.6759452593108627,0.6063119424878072
0,0,1,0,0,0,0,7501,4.242006474008385e-06,0.0012461123018662288
0,0,0,0,0,1,0,7501,0.0,2.992810975813965
0,0,0,1,0,0,0,7501,9.614039615864491e-06,0.5323252457437646
0,0,1,0,0,0,0,7501,6.3630097110125785e-06,0.0018559941976473433
0,0,0,0,0,1,0,7501,6.576610979776591e-06,-0.002384507160149649
0,0,0,1,0,0,0,7501,1.9228079231728982e-05,0.026723662663293575
0,0,1,0,0,0,0,7501,0.7248089946076252,-0.00020709048922187286
0,0,0,0,0,1,0,7501,0.4000174959496458,-0.003601577270715519
0,0,0,1,0,0,0,7501,0.5816306056633727,0.0
0,0,0,0,0,1,0,7501,0.0,0.0
0,0,0,1,0,0,0,7501,0.5686095148839795,0.008705292021818942
0,0,1,0,0,0,0,7501,0.560214591719229,0.0016180367508449342
0,0,0,0,0,1,0,7501,0.0,0.04440627357308004
0,0,1,0,0,0,0,7501,0.0,-0.002198375834382715
0,0,1,0,0,0,0,7501,0.6301104447924463,0.00014054090510532918
0,0,0,0,0,1,0,7501,0.5926342961192271,-0.0016100847638807708
0,0,0,1,0,0,0,7501,0.6380291539664401,-0.14618417925715968
0,0,1,0,0,0,0,7501,0.0,-0.002074379824166039
